,Amblypsilopus simplex,Apis mellifera,Atrichopogon yamabukiensis,Cardiophorus sp.1,Cecidomie sp.,Chalicodoma disjuncta,Chironomus sp.,Chrysomya megacephala,Cinnyris dussumieri,Cossonini sp.2,Cratopus aurostriatus,Cryptophagidae sp.2,Cryptophleps nigrihalteratus,Dasyhelea tamsi,Delta alluaudi,Dermestidae sp.1,Dermestidae sp.2,Dichaetomyia fasciculifera,Eristalinus sp.,Forcipomyia sp.1,Forcipomyia amieuensis,Forcipomyia litoraurea,Forcipomyia sp.2,Forcipomyia sp.3,Geron seychellarum,Hemipyrellia germana,Hymenoptera sp.2,Hypolimnas misippus,Hyrdotaea nigrisquama,Lasioglossum mahense,Lobosciara bilotata,Lygistorrhina sp.,Mabuya seychellensis,Mordellistena coleae,Musca domestica,Eurycratus sp.1,Odontomyia sp.,Ornidia obesa,Parasarcophaga hirticeps,Phelsuma sp.,Platygastridae sp.2,Polistes olivaceus,Ptinidae sp.2,Rhiparida seychellensis,Sargus seychellensis,Scaptodrosophila sp.1,Sciaridae sp.1,Scolytidae sp.4,Simosyrphus aegyptius,Smitta mahensis,Staphylinidae sp.2,Thripomorpha rufithorax
Campnosperma seychellarum,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,39,0,0,1,0,1,0,8,0
Cinnamomum verum,0,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Craterispermum microdon,0,44,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,31,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0
Dillenia ferruginea,3,43,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,1,0,0,0
Erythroxylum sechellarum,1,35,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0
Excoecaria benthamiana,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Memecylon elaeagni,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,0
Mimusops sechellarum,0,13,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Nepenthes pervillei,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Nephrosperma vanhoutteanum,0,52,1,0,0,0,0,0,0,0,11,0,0,7,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,75,2,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,8,0,1,0,0,0
Northea hornei,0,5,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
Paragenipa lancifolia,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phoenicophorium borsigianum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gastonia crassa,0,2,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Psychotria pervillei,0,25,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Roscheria melanochaetes,0,4,3,33,1,0,0,0,0,5,1,1,0,9,0,8,0,0,0,29,3,0,1,0,0,0,0,0,0,4,0,7,0,3,0,0,0,0,0,1,0,1,0,3,0,10,8,0,0,12,0,0
Soulamea terminalioides,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,3,10,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,4,0,0,1,0,0,0,0,0,5,0,2,1,0,0
Syzygium wrightii,0,3,0,0,0,0,0,1,41,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0
Timonius flavescens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1